comentario,negativo
"Este producto es excelente, superó mis expectativas.",0
"El servicio fue rápido y eficiente, muy satisfecho.",0
"No recomendaría este producto a nadie, se rompió al primer uso.",1
"La calidad es bastante mala para el precio, muy decepcionado.",1
"Me encanta, justo lo que necesitaba, lo compraré de nuevo.",0
"Horrible experiencia, el producto llegó dañado y no funciona.",1
"Estoy muy contento con la compra, llegó antes de lo esperado.",0
"Terrible atención al cliente, no me resolvieron el problema.",1
"Buen producto, cumple con lo que promete.",0
"No vale la pena, es una pérdida de dinero.",1
"Encantado con el servicio, todo perfecto.",0
"El peor producto que he comprado, no lo recomiendo.",1
"Funciona tal como se describe, satisfecho con la compra.",0
"Deficiente, nada recomendable, se descompuso en una semana.",1
"Todo en orden, la entrega fue rápida y el producto de calidad.",0
"Producto de mala calidad, no volveré a comprar aquí.",1
"Muy feliz con la compra, superó mis expectativas.",0
"No funcionó correctamente, muy insatisfecho.",1
"Gran calidad, muy recomendable.",0
"Producto defectuoso, no lo volvería a comprar.",1
"El empaque estaba bien, pero el producto no funcionó como esperaba.",1
"Excelente servicio al cliente, resolvieron mi problema en minutos.",0
"Producto de muy mala calidad, parece de segunda mano.",1
"Todo llegó en perfectas condiciones, repetiría la compra.",0
"No recomendaría este servicio, tardaron demasiado en entregar.",1
"Fantástica relación calidad-precio, muy satisfecho.",0
"El color no es como se muestra en las fotos, muy decepcionado.",1
"Recomiendo este producto, cumple perfectamente su función.",0
"El material es muy endeble, no durará mucho tiempo.",1
"Me encantó el diseño, es exactamente como lo imaginaba.",0
"El peor servicio que he recibido, no volveré a comprar aquí.",1
"La entrega fue rápida y el producto es justo lo que necesitaba.",0
"Producto roto al llegar, muy mala experiencia.",1
"Excelente calidad, superó mis expectativas.",0
"Desastroso, no cumple con lo prometido.",1
"Me gustó mucho, todo fue perfecto desde el pedido hasta la entrega.",0
"Demasiado caro para la calidad que ofrece, muy insatisfecho.",1
"Estoy muy contento con mi compra, lo recomiendo.",0
"El servicio de atención al cliente fue pésimo, no me ayudaron en nada.",1
"Producto de alta calidad, muy satisfecho con la compra.",0
"No lo volvería a comprar, se rompió después de un uso.",1
"Todo perfecto, la entrega fue rápida y sin problemas.",0
"Muy mala experiencia, el producto no es como se describe.",1
"Me encantó, es justo lo que esperaba.",0
"El producto llegó tarde y en mal estado.",1
"Gran compra, totalmente satisfecho.",0
"No merece la pena, hay mejores opciones en el mercado.",1
"Fácil de usar y cumple con lo prometido, muy satisfecho.",0
"Se rompió en menos de una semana, muy mala calidad.",1
"El servicio fue excelente, muy atentos y profesionales.",0
"No recibí el producto correcto, muy decepcionante.",1
"La entrega fue rápida y el producto cumple con las expectativas.",0
"No es lo que esperaba, muy insatisfecho con la compra.",1
"Perfecto para lo que necesitaba, muy buena compra.",0
"El producto no funciona como se describe, no lo recomiendo.",1
"Todo salió muy bien, repetiré la compra en el futuro.",0
"La calidad del producto es muy baja, no vale la pena.",1
"Encantado con la compra, llegó antes de lo previsto.",0
"El producto llegó defectuoso, muy mala experiencia.",1
"Es justo lo que buscaba, muy satisfecho.",0
"Muy caro para lo que ofrece, no lo recomiendo.",1
"Todo fue perfecto, muy contento con la compra.",0
"El producto no es nada como lo describen, muy decepcionado.",1
"El producto no se parece en nada a la descripción, muy desilusionado.",1
"Buena calidad y buen precio, muy satisfecho con la compra.",0
"El servicio de atención fue horrible, no resolveré mi problema.",1
"Producto excelente, llegó antes de lo esperado.",0
"No me gustó, el producto es de baja calidad.",1
"Es la segunda vez que compro y estoy encantado, muy recomendable.",0
"El producto llegó dañado, muy mal empaquetado.",1
"Todo fue perfecto, el producto es de alta calidad.",0
"No cumple con lo que promete, muy insatisfecho.",1
"Excelente compra, todo fue según lo planeado.",0
"El tamaño es incorrecto, no lo recomiendo.",1
"Muy contento con la compra, el producto es tal como se describe.",0
"No vale lo que cuesta, muy decepcionado.",1
"La atención al cliente fue de primera, volveré a comprar.",0
"El producto llegó incompleto, muy mala experiencia.",1
"Cumple con lo que esperaba, muy satisfecho.",0
"Producto defectuoso, no duró ni una semana.",1
"Me sorprendió la calidad, realmente satisfecho.",0
"No recomendaría este producto, es una pérdida de dinero.",1
"Muy buena relación calidad-precio, muy contento.",0
"El producto es frágil, no vale la pena.",1
"Todo salió como esperaba, muy buen servicio.",0
"Muy mala experiencia, no recibí lo que pedí.",1
"El producto es excelente, lo recomendaría sin dudarlo.",0
"No funcionó como debería, muy frustrante.",1
"El mejor producto que he comprado, muy feliz con mi compra.",0
"Muy caro para la calidad que ofrece, no lo recomendaría.",1
"Todo fue perfecto, el producto es de excelente calidad.",0
"El producto se rompió al segundo día de uso, muy decepcionado.",1
"Gran producto, llegó en perfectas condiciones.",0
"No estoy satisfecho, no cumple con lo que promete.",1
"Muy contento con el servicio y el producto, lo recomiendo.",0
"Producto de baja calidad, no vale lo que cuesta.",1
"Todo llegó a tiempo y en buen estado, muy satisfecho.",0
"Muy mala calidad, se rompió fácilmente.",1
"El producto es tal como se describe, muy feliz con mi compra.",0
"El servicio fue pésimo, no me ayudaron en nada.",1
"Gran calidad por el precio, realmente satisfecho.",0
"El producto no funciona correctamente, no lo recomendaría.",1
"El mejor servicio que he recibido, muy profesional.",0
"No recomendaría este producto, muy insatisfecho.",1
"Este producto no cumple con las expectativas, no lo compraria de nuevo.",1
"El servicio fue excelente, sin duda lo compraría otra vez.",0
"El producto llegó a tiempo y en perfectas condiciones, lo volvería a comprar.",0
"No me gustó la calidad, no lo compraría nuevamente.",1
"Lo compraría una y otra vez, es perfecto para mis necesidades.",0
"Es una pérdida de dinero, no lo recomendaría a nadie.",1
"Me encanta, lo compraría de nuevo sin dudarlo.",0
"El producto se descompuso al primer uso, no lo compraria nunca más.",1
"Muy satisfecho con la compra, lo volvería a comprar.",0
"No compraria este producto, la calidad es muy baja.",1
"Definitivamente lo compraría de nuevo, excelente calidad.",0
"No lo compraría ni aunque fuera más barato, es una decepción.",1
"Lo recomendaría y lo compraría otra vez, es excelente.",0
"No cumple con lo que promete, no lo compraria ni para regalar.",1
"Estoy muy contento, compraría más de estos productos.",0
"El peor producto que he comprado, no lo volvería a comprar.",1
"Me encantó, compraría otro para regalar.",0
"El envío fue rápido, pero el producto es malo, no lo compraria otra vez.",1
"Lo volvería a comprar sin dudarlo, superó mis expectativas.",0
"No lo recomendaría, no lo compraría de nuevo.",1
"El producto es de baja calidad, no compraria nada más de esta marca.",1
"Todo perfecto, lo volvería a comprar.",0
"Producto defectuoso, no lo compraria de nuevo.",1
"Muy buena calidad, lo compraría otra vez.",0
"No compraria este producto, muy decepcionado con la compra.",1
"Me encantó el producto, lo compraría para regalar.",0
"El producto no es lo que esperaba, no lo compraria nuevamente.",1
"Buena compra, definitivamente lo volvería a comprar.",0
"No compraria este producto, no vale la pena.",1
"Excelente calidad, lo compraría sin pensarlo dos veces.",0
"Producto de mala calidad, no lo compraría otra vez.",1
"Muy buen servicio, lo volvería a comprar.",0
"No lo compraria de nuevo, demasiado caro para lo que ofrece.",1
"Es exactamente lo que buscaba, lo compraría de nuevo.",0
"No lo recomendaría, no lo compraria de nuevo.",1
"Lo compraría una y otra vez, es fantástico.",0
"Es un mal producto, no lo compraria de nuevo.",1
"Todo estuvo bien, lo volvería a comprar.",0
"El producto es malo, no lo compraria de nuevo.",1
"Me gustó mucho, lo compraría otra vez.",0
"El producto no cumple con lo prometido, no lo compraria de nuevo.",1
"No lo volvería a comprar, me decepcionó mucho.",1
"No recomiendo este producto, no vale la pena.",1
"Ni lo volvería a comprar ni lo recomendaría.",1
"No lo compraría nuevamente, es de muy mala calidad.",1
"No me gustó, no lo compraría otra vez.",1
"No es lo que esperaba, no lo volvería a comprar.",1
"No me impresionó, no lo compraría otra vez.",1
"No tiene buena calidad, no lo compraría de nuevo.",1
"No volveré a comprar de esta marca.",1
"No lo recomendaría, no lo volvería a comprar.",1
"Lo compraría de nuevo sin pensarlo.",0
"Me gustó tanto que lo volvería a comprar.",0
"Definitivamente lo recomendaría, lo compraría otra vez.",0
"Me encanta, lo compraría de nuevo sin dudarlo.",0
"Excelente calidad, lo compraría de nuevo.",0
"Lo volvería a comprar, es perfecto.",0
"Lo compraría una y otra vez, es fantástico.",0
"Lo recomendaría y lo compraría otra vez.",0
"Lo volvería a comprar sin dudarlo.",0
"Lo compraría de nuevo, muy satisfecho con la compra.",0