texto,spam
"¡Gana dinero rápido y fácil!",1
"Confirmación de tu suscripción a la newsletter",0
"Última oportunidad para obtener un descuento del 50%",1
"Reunión de equipo el próximo lunes",0
"Has ganado un iPhone gratis, reclama ahora",1
"Recordatorio de cita médica",0
"Consigue acceso VIP a nuestro sitio web",1
"Solicitud de presupuesto para proyecto",0
"Actualización importante de tu cuenta bancaria",0
"¡Felicitaciones! Has sido seleccionado",1
"Invitación a evento exclusivo",0
"Compra dos y lleva el tercero gratis",1
"Resumen de tu estado de cuenta",0
"Este es tu último aviso",1
"Consulta médica programada",0
"Nuevo curso disponible: ¡Inscríbete ahora!",1
"Actualización de políticas de privacidad",0
"Descarga el software gratuito ahora",1
"Revisión anual de desempeño",0
"Oferta exclusiva para nuestros suscriptores",1
"Propuesta de colaboración",0
"Tu paquete ha sido enviado",0
"Premio garantizado si respondes esta encuesta",1
"Confirmación de compra",0
"Tu suscripción expira pronto, renueva ahora",1
"Factura pendiente de pago",0
"¡Oferta limitada por tiempo!",1
"Reunión con el cliente",0
"Recibe hasta 70% de descuento en tu próxima compra",1
"Propuesta de contrato",0
"Recuperación de contraseña",0
"Accede a nuestro webinar gratuito",1
"Nuevo mensaje de voz",0
"¡Aprovecha nuestra oferta especial del mes!",1
"Tu cuenta ha sido actualizada",0
"Reclama tu bono exclusivo ahora",1
"Informe trimestral del equipo",0
"Nuevo lanzamiento: ¡No te lo pierdas!",1
"Agenda de la reunión del consejo",0
"Tu crédito ha sido aprobado",1
"Invitación a la boda de Ana y Carlos",0
"Oferta única para nuestros clientes fieles",1
"Resumen de actividad reciente en tu cuenta",0
"Descubre los secretos para bajar de peso",1
"Reunión con el proveedor confirmada",0
"¡Gana premios participando en nuestra encuesta!",1
"Actualización de software disponible",0
"Accede a nuestro nuevo catálogo de productos",1
"Gracias por tu participación en la conferencia",0
"Descubre cómo duplicar tus ingresos",1
"Solicitud de reunión para discutir el proyecto",0
"Compra ahora y recibe un regalo gratis",1
"Tu vuelo ha sido confirmado",0
"¡Aprovecha el 2x1 en todos nuestros productos!",1
"Informe mensual de desempeño",0
"Últimos días para aprovechar esta oferta",1
"Tu reserva ha sido confirmada",0
"¡Felices fiestas! Disfruta de un regalo especial",1
"Convocatoria a junta extraordinaria",0
"Elimina deudas rápidamente con estos consejos",1
"Inscripción exitosa al curso",0
"Consigue el cuerpo que siempre quisiste",1
"Confirmación de la cita de trabajo",0
"¡No dejes pasar esta oportunidad única!",1
"Reporte de ventas semanal",0
"Regístrate y obtén acceso exclusivo",1
"Tu pedido ha sido enviado",0
"¡Descuento de 70% en tu próxima compra!",1
"Actualización de la política de seguridad",0
"Invitación a nuestro próximo evento online",1
"Reporte de cumplimiento normativo",0
"Obtén una tarjeta de regalo gratis",1
"Confirmación de asistencia a la reunión",0
"¡Gran liquidación de verano!",1
"Solicitud de confirmación de datos",0
"¿Quieres mejorar tu vida amorosa?",1
"Reporte diario de incidentes",0
"Reclama tu acceso a contenido premium",1
"Tu cita ha sido reprogramada",0
"¡Ahorra hasta 50% en nuestra tienda online!",1
"Convocatoria a capacitación obligatoria",0
"Consigue tus entradas gratis ahora",1
"Informe de gastos mensual",0
"Última oportunidad para actualizar tu plan",1
"Invitación a la fiesta de fin de año",0
"Reduce el estrés con estos consejos",1
"Reporte de riesgos actualizado",0
"¡No te pierdas nuestra venta exclusiva!",1
"Confirmación de la entrega de tu paquete",0
"¡Mejora tu salud con este producto milagroso!",1
"Agenda de la sesión de entrenamiento",0
"Consigue tus regalos de Navidad aquí",1
"Reporte de análisis de mercado",0
"¡Activa tu cuenta y comienza a ganar!",1
"Confirmación de tu nueva contraseña",0
"Oferta relámpago: ¡solo por hoy!",1
"Revisión de desempeño anual",0
"Participa en nuestro sorteo y gana premios",1
"Tu informe de gastos ha sido aprobado",0
"¡Renueva tu membresía con un descuento especial!",1
"Convocatoria a reunión de seguimiento",0
"Obtén un seguro de vida al instante",1
"Actualización del estado del proyecto",0
"¡Aprovecha nuestra oferta antes de que termine!",1
"Invitación a la cena de empresa",0
"Conviértete en un experto en inversiones",1
"Tu tarjeta ha sido activada",0
"¡Accede a contenido exclusivo hoy mismo!",1
"Informe de auditoría interna",0
"¡Recibe un reembolso del 10% en tus compras!",1
"Confirmación de inscripción a la conferencia",0
"¡Participa en nuestro concurso de verano!",1
"Reporte de avance del proyecto",0
"Compra ahora y paga después",1
"¡Oferta exclusiva para nuevos clientes!",1
"Convocatoria a la reunión de planificación",0
"Mejora tu crédito con estos simples pasos",1
"Tu reserva de hotel ha sido confirmada",0
"¡Recibe un descuento instantáneo en tu próxima compra!",1
"Reporte financiero anual",0
"Obtén tu préstamo personal en minutos",1
"Confirmación de asistencia al seminario",0
"¡Aprovecha nuestra oferta de tiempo limitado!",1
"Informe de satisfacción del cliente",0
"Participa y gana un viaje a las Bahamas",1
"Reunión de coordinación de proyecto",0
"¡Compra ahora y recibe envío gratis!",1
"Actualización de tu cuenta de usuario",0
"Descubre los mejores productos de 2024",1
"Confirmación de tu inscripción al taller",0
"Recibe acceso anticipado a nuestras ofertas",1
"Informe de rendimiento del sistema",0
"¡Oferta por tiempo limitado en nuestros productos!",1
"Recordatorio: Tu cita médica es mañana",0
"Obtén tu regalo de bienvenida",1
"Confirmación de asistencia al evento de networking",0
"¡Consigue entradas con un 30% de descuento!",1
"Actualización de la política de privacidad",0
"Participa en nuestra lotería y gana grandes premios",1
"Reunión de seguimiento del proyecto",0
"¡Liquidación de fin de temporada, hasta 70% de descuento!",1
"Tu informe de rendimiento ha sido procesado",0
"Solicita tu tarjeta de crédito sin costo",1
"Reunión mensual del equipo de desarrollo",0
"¡Recibe un bono de $50 al registrarte!",1
"Confirmación de tu reserva de restaurante",0
"¡Aprovecha nuestra promoción exclusiva para suscriptores!",1
"Tu paquete ha sido entregado",0
"Consigue descuentos exclusivos por tiempo limitado",1
"Informe de estado del proyecto",0
"¡No te pierdas esta oferta especial solo para ti!",1
"Confirmación de la transferencia bancaria",0